,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Team,Total DVOA,Prev. Year Rank,Weighted DVOA,Pass DVOA,Rush DVOA,Unadj. Total VOA,Unadj. Pass VOA,Unadj. Rush VOA,Variance,Schedule,,,,,,,,,
1,"PIT
",,,,,,,,,,,,,,,,,,,
2,"NO
",,,,,,,,,,,,,,,,,,,
3,"WAS
",,,,,,,,,,,,,,,,,,,
4,"LAR
",,,,,,,,,,,,,,,,,,,
5,"TB
",,,,,,,,,,,,,,,,,,,
6,"SF
",,,,,,,,,,,,,,,,,,,
7,"IND
",,,,,,,,,,,,,,,,,,,
8,"CHI
",,,,,,,,,,,,,,,,,,,
9,"BAL
",,,,,,,,,,,,,,,,,,,
10,"ARI
",,,,,,,,,,,,,,,,,,,
11,"MIA
",,,,,,,,,,,,,,,,,,,
12,"BUF
",,,,,,,,,,,,,,,,,,,
13,"DEN
",,,,,,,,,,,,,,,,,,,
14,"ATL
",,,,,,,,,,,,,,,,,,,
15,"PHI
",,,,,,,,,,,,,,,,,,,
16,"SEA
",,,,,,,,,,,,,,,,,,,
17,"GB
",,,,,,,,,,,,,,,,,,,
18,"MIN
",,,,,,,,,,,,,,,,,,,
19,"NYG
",,,,,,,,,,,,,,,,,,,
20,"LAC
",,,,,,,,,,,,,,,,,,,
21,"NYJ
",,,,,,,,,,,,,,,,,,,
22,"KC
",,,,,,,,,,,,,,,,,,,
23,"DAL
",,,,,,,,,,,,,,,,,,,
24,"CAR
",,,,,,,,,,,,,,,,,,,
25,"CLE
",,,,,,,,,,,,,,,,,,,
26,"NE
",,,,,,,,,,,,,,,,,,,
27,"CIN
",,,,,,,,,,,,,,,,,,,
28,"LV
",,,,,,,,,,,,,,,,,,,
29,"TEN
",,,,,,,,,,,,,,,,,,,
30,"HOU
",,,,,,,,,,,,,,,,,,,
31,"JAX
",,,,,,,,,,,,,,,,,,,
32,"DET
",,,,,,,,,,,,,,,,,,,
